PassengerId|Survived|Pclass|Sex|Age|Kinsfolk
384|live|1|female|middleage|withfolk
385|dead|3|male||withoutfolk
386|dead|2|male|middleage|withoutfolk
387|dead|3|male|underage|withfolk
388|live|2|female|middleage|withoutfolk
389|dead|3|male||withoutfolk
390|live|2|female|underage|withoutfolk
391|live|1|male|middleage|withfolk
392|live|3|male|middleage|withoutfolk
393|dead|3|male|middleage|withfolk
394|live|1|female|middleage|withfolk
395|live|3|female|middleage|withfolk
396|dead|3|male|middleage|withoutfolk
397|dead|3|female|middleage|withoutfolk
398|dead|2|male|oldage|withoutfolk
399|dead|2|male|middleage|withoutfolk
400|live|2|female|middleage|withoutfolk
401|live|3|male|middleage|withoutfolk
402|dead|3|male|middleage|withoutfolk
403|dead|3|female|middleage|withfolk
404|dead|3|male|middleage|withfolk
405|dead|3|female|middleage|withoutfolk
406|dead|2|male|middleage|withfolk
407|dead|3|male|oldage|withoutfolk
408|live|2|male|underage|withfolk
409|dead|3|male|middleage|withoutfolk
410|dead|3|female||withfolk
411|dead|3|male||withoutfolk
412|dead|3|male||withoutfolk
413|live|1|female|middleage|withfolk
414|dead|2|male||withoutfolk
415|live|3|male|middleage|withoutfolk
416|dead|3|female||withoutfolk
417|live|2|female|middleage|withfolk
418|live|2|female|middleage|withfolk
419|dead|2|male|middleage|withoutfolk
420|dead|3|female|underage|withfolk
421|dead|3|male||withoutfolk
422|dead|3|male|middleage|withoutfolk
423|dead|3|male|middleage|withoutfolk
424|dead|3|female|middleage|withfolk
425|dead|3|male|middleage|withfolk
426|dead|3|male||withoutfolk
427|live|2|female|middleage|withfolk
428|live|2|female|middleage|withoutfolk
429|dead|3|male||withoutfolk
430|live|3|male|middleage|withoutfolk
431|live|1|male|middleage|withoutfolk
432|live|3|female||withfolk
433|live|2|female|middleage|withfolk
434|dead|3|male|underage|withoutfolk
435|dead|1|male|oldage|withfolk
436|live|1|female|underage|withfolk
437|dead|3|female|middleage|withfolk
438|live|2|female|middleage|withfolk
439|dead|1|male|oldage|withfolk
440|dead|2|male|middleage|withoutfolk
441|live|2|female|oldage|withfolk
442|dead|3|male|middleage|withoutfolk
443|dead|3|male|middleage|withfolk
444|live|2|female|middleage|withoutfolk
445|live|3|male||withoutfolk
446|live|1|male|underage|withfolk
447|live|2|female|underage|withfolk
448|live|1|male|middleage|withoutfolk
449|live|3|female|underage|withfolk
450|live|1|male|oldage|withoutfolk
451|dead|2|male|middleage|withfolk
452|dead|3|male||withfolk
453|dead|1|male|middleage|withoutfolk
454|live|1|male|oldage|withfolk
455|dead|3|male||withoutfolk
456|live|3|male|middleage|withoutfolk
457|dead|1|male|oldage|withoutfolk
458|live|1|female||withfolk
459|live|2|female|oldage|withoutfolk
460|dead|3|male||withoutfolk
461|live|1|male|oldage|withoutfolk
462|dead|3|male|middleage|withoutfolk
463|dead|1|male|oldage|withoutfolk
464|dead|2|male|oldage|withoutfolk
465|dead|3|male||withoutfolk
466|dead|3|male|middleage|withoutfolk
467|dead|2|male||withoutfolk
468|dead|1|male|oldage|withoutfolk
469|dead|3|male||withoutfolk
470|live|3|female|underage|withfolk
471|dead|3|male||withoutfolk
472|dead|3|male|middleage|withoutfolk
473|live|2|female|middleage|withfolk
474|live|2|female|middleage|withoutfolk
475|dead|3|female|middleage|withoutfolk
476|dead|1|male||withoutfolk
477|dead|2|male|middleage|withfolk
478|dead|3|male|middleage|withfolk
479|dead|3|male|middleage|withoutfolk
480|live|3|female|underage|withfolk
481|dead|3|male|underage|withfolk
482|dead|2|male||withoutfolk
483|dead|3|male|oldage|withoutfolk
484|live|3|female|oldage|withoutfolk
485|live|1|male|middleage|withfolk
486|dead|3|female||withfolk
487|live|1|female|middleage|withfolk
488|dead|1|male|oldage|withoutfolk
489|dead|3|male|middleage|withoutfolk
490|live|3|male|underage|withfolk
491|dead|3|male||withfolk
492|dead|3|male|middleage|withoutfolk
493|dead|1|male|oldage|withoutfolk
494|dead|1|male|oldage|withoutfolk
495|dead|3|male|middleage|withoutfolk
496|dead|3|male||withoutfolk
497|live|1|female|oldage|withfolk
498|dead|3|male||withoutfolk
499|dead|1|female|middleage|withfolk
500|dead|3|male|middleage|withoutfolk
501|dead|3|male|underage|withoutfolk
502|dead|3|female|middleage|withoutfolk
503|dead|3|female||withoutfolk
504|dead|3|female|middleage|withoutfolk
505|live|1|female|underage|withoutfolk
506|dead|1|male|middleage|withfolk
507|live|2|female|middleage|withfolk
508|live|1|male||withoutfolk
509|dead|3|male|middleage|withoutfolk
510|live|3|male|middleage|withoutfolk
511|live|3|male|middleage|withoutfolk
512|dead|3|male||withoutfolk
513|live|1|male|middleage|withoutfolk
514|live|1|female|oldage|withfolk
515|dead|3|male|middleage|withoutfolk
516|dead|1|male|oldage|withoutfolk
517|live|2|female|middleage|withoutfolk
518|dead|3|male||withoutfolk
519|live|2|female|middleage|withfolk
520|dead|3|male|middleage|withoutfolk
521|live|1|female|middleage|withoutfolk
522|dead|3|male|middleage|withoutfolk
523|dead|3|male||withoutfolk
524|live|1|female|middleage|withfolk
525|dead|3|male||withoutfolk
526|dead|3|male|middleage|withoutfolk
527|live|2|female|oldage|withoutfolk
528|dead|1|male||withoutfolk
529|dead|3|male|middleage|withoutfolk
530|dead|2|male|middleage|withfolk
531|live|2|female|underage|withfolk
532|dead|3|male||withoutfolk
533|dead|3|male|underage|withfolk
534|live|3|female||withfolk
535|dead|3|female|middleage|withoutfolk
536|live|2|female|underage|withfolk
537|dead|1|male|oldage|withoutfolk
538|live|1|female|middleage|withoutfolk
539|dead|3|male||withoutfolk
540|live|1|female|middleage|withfolk
541|live|1|female|middleage|withfolk
542|dead|3|female|underage|withfolk
543|dead|3|female|underage|withfolk
544|live|2|male|middleage|withfolk
545|dead|1|male|oldage|withfolk
546|dead|1|male|oldage|withoutfolk
547|live|2|female|middleage|withfolk
548|live|2|male||withoutfolk
549|dead|3|male|middleage|withfolk
550|live|2|male|underage|withfolk
551|live|1|male|underage|withfolk
552|dead|2|male|middleage|withoutfolk
553|dead|3|male||withoutfolk
554|live|3|male|middleage|withoutfolk
555|live|3|female|middleage|withoutfolk
556|dead|1|male|oldage|withoutfolk
557|live|1|female|oldage|withfolk
558|dead|1|male||withoutfolk
559|live|1|female|middleage|withfolk
560|live|3|female|middleage|withfolk
561|dead|3|male||withoutfolk
562|dead|3|male|middleage|withoutfolk
563|dead|2|male|middleage|withoutfolk
564|dead|3|male||withoutfolk
565|dead|3|female||withoutfolk
566|dead|3|male|middleage|withfolk
567|dead|3|male|middleage|withoutfolk
568|dead|3|female|middleage|withfolk
569|dead|3|male||withoutfolk
570|live|3|male|middleage|withoutfolk
571|live|2|male|oldage|withoutfolk
572|live|1|female|oldage|withfolk
573|live|1|male|middleage|withoutfolk
574|live|3|female||withoutfolk
575|dead|3|male|underage|withoutfolk
576|dead|3|male|middleage|withoutfolk
577|live|2|female|middleage|withoutfolk
578|live|1|female|middleage|withfolk
579|dead|3|female||withfolk
580|live|3|male|middleage|withoutfolk
581|live|2|female|middleage|withfolk
582|live|1|female|middleage|withfolk
583|dead|2|male|oldage|withoutfolk
584|dead|1|male|middleage|withoutfolk
585|dead|3|male||withoutfolk
586|live|1|female|middleage|withfolk
587|dead|2|male|oldage|withoutfolk
588|live|1|male|oldage|withfolk
589|dead|3|male|middleage|withoutfolk
590|dead|3|male||withoutfolk
591|dead|3|male|middleage|withoutfolk
592|live|1|female|oldage|withfolk
593|dead|3|male|oldage|withoutfolk
594|dead|3|female||withfolk
595|dead|2|male|middleage|withfolk
596|dead|3|male|middleage|withfolk
597|live|2|female||withoutfolk
598|dead|3|male|oldage|withoutfolk
599|dead|3|male||withoutfolk
600|live|1|male|oldage|withfolk
601|live|2|female|middleage|withfolk
602|dead|3|male||withoutfolk
603|dead|1|male||withoutfolk
604|dead|3|male|middleage|withoutfolk
605|live|1|male|middleage|withoutfolk
606|dead|3|male|middleage|withfolk
607|dead|3|male|middleage|withoutfolk
608|live|1|male|middleage|withoutfolk
609|live|2|female|middleage|withfolk
610|live|1|female|middleage|withoutfolk
611|dead|3|female|middleage|withfolk
612|dead|3|male||withoutfolk
613|live|3|female||withfolk
614|dead|3|male||withoutfolk
615|dead|3|male|middleage|withoutfolk
616|live|2|female|middleage|withfolk
617|dead|3|male|middleage|withfolk
618|dead|3|female|middleage|withfolk
619|live|2|female|underage|withfolk
620|dead|2|male|middleage|withoutfolk
621|dead|3|male|middleage|withfolk
622|live|1|male|middleage|withfolk
623|live|3|male|middleage|withfolk
624|dead|3|male|middleage|withoutfolk
625|dead|3|male|middleage|withoutfolk
626|dead|1|male|oldage|withoutfolk
627|dead|2|male|oldage|withoutfolk
628|live|1|female|middleage|withoutfolk
629|dead|3|male|middleage|withoutfolk
630|dead|3|male||withoutfolk
631|live|1|male|oldage|withoutfolk
632|dead|3|male|oldage|withoutfolk
633|live|1|male|middleage|withoutfolk
634|dead|1|male||withoutfolk
635|dead|3|female|underage|withfolk
636|live|2|female|middleage|withoutfolk
637|dead|3|male|middleage|withoutfolk
638|dead|2|male|middleage|withfolk
639|dead|3|female|middleage|withfolk
640|dead|3|male||withfolk
641|dead|3|male|middleage|withoutfolk
642|live|1|female|middleage|withoutfolk
643|dead|3|female|underage|withfolk
644|live|3|male||withoutfolk
645|live|3|female|underage|withfolk
646|live|1|male|oldage|withfolk
647|dead|3|male|middleage|withoutfolk
648|live|1|male|oldage|withoutfolk
649|dead|3|male||withoutfolk
650|live|3|female|middleage|withoutfolk
651|dead|3|male||withoutfolk
652|live|2|female|middleage|withfolk
653|dead|3|male|middleage|withoutfolk
654|live|3|female||withoutfolk
655|dead|3|female|middleage|withoutfolk
656|dead|2|male|middleage|withfolk
657|dead|3|male||withoutfolk
658|dead|3|female|middleage|withfolk
659|dead|2|male|middleage|withoutfolk
660|dead|1|male|oldage|withfolk
661|live|1|male|oldage|withfolk
662|dead|3|male|middleage|withoutfolk
663|dead|1|male|oldage|withoutfolk
664|dead|3|male|middleage|withoutfolk
665|live|3|male|middleage|withfolk
666|dead|2|male|middleage|withfolk
667|dead|2|male|middleage|withoutfolk
668|dead|3|male||withoutfolk
669|dead|3|male|middleage|withoutfolk
670|live|1|female||withfolk
671|live|2|female|middleage|withfolk
672|dead|1|male|middleage|withfolk
673|dead|2|male|oldage|withoutfolk
674|live|2|male|middleage|withoutfolk
675|dead|2|male||withoutfolk
676|dead|3|male|middleage|withoutfolk
677|dead|3|male|middleage|withoutfolk
678|live|3|female|middleage|withoutfolk
679|dead|3|female|middleage|withfolk
680|live|1|male|middleage|withfolk
681|dead|3|female||withoutfolk
682|live|1|male|middleage|withoutfolk
683|dead|3|male|middleage|withoutfolk
684|dead|3|male|underage|withfolk
685|dead|2|male|oldage|withfolk
686|dead|2|male|middleage|withfolk
687|dead|3|male|underage|withfolk
688|dead|3|male|middleage|withoutfolk
689|dead|3|male|middleage|withoutfolk
690|live|1|female|underage|withfolk
691|live|1|male|middleage|withfolk
692|live|3|female|underage|withfolk
693|live|3|male||withoutfolk
694|dead|3|male|middleage|withoutfolk
695|dead|1|male|oldage|withoutfolk
696|dead|2|male|oldage|withoutfolk
697|dead|3|male|middleage|withoutfolk
698|live|3|female||withoutfolk
699|dead|1|male|oldage|withfolk
700|dead|3|male|middleage|withoutfolk
701|live|1|female|middleage|withfolk
702|live|1|male|middleage|withoutfolk
703|dead|3|female|middleage|withfolk
704|dead|3|male|middleage|withoutfolk
705|dead|3|male|middleage|withfolk
706|dead|2|male|middleage|withoutfolk
707|live|2|female|oldage|withoutfolk
708|live|1|male|middleage|withoutfolk
709|live|1|female|middleage|withoutfolk
710|live|3|male||withfolk
711|live|1|female|middleage|withoutfolk
712|dead|1|male||withoutfolk
713|live|1|male|oldage|withfolk
714|dead|3|male|middleage|withoutfolk
715|dead|2|male|oldage|withoutfolk
716|dead|3|male|middleage|withoutfolk
717|live|1|female|middleage|withoutfolk
718|live|2|female|middleage|withoutfolk
719|dead|3|male||withoutfolk
720|dead|3|male|middleage|withoutfolk
721|live|2|female|underage|withfolk
722|dead|3|male|underage|withfolk
723|dead|2|male|middleage|withoutfolk
724|dead|2|male|oldage|withoutfolk
725|live|1|male|middleage|withfolk
726|dead|3|male|middleage|withoutfolk
727|live|2|female|middleage|withfolk
728|live|3|female||withoutfolk
729|dead|2|male|middleage|withfolk
730|dead|3|female|middleage|withfolk
731|live|1|female|middleage|withoutfolk
732|dead|3|male|underage|withoutfolk
733|dead|2|male||withoutfolk
734|dead|2|male|middleage|withoutfolk
735|dead|2|male|middleage|withoutfolk
736|dead|3|male|middleage|withoutfolk
737|dead|3|female|oldage|withfolk
738|live|1|male|middleage|withoutfolk
739|dead|3|male||withoutfolk
740|dead|3|male||withoutfolk
741|live|1|male||withoutfolk
742|dead|1|male|middleage|withfolk
743|live|1|female|middleage|withfolk
744|dead|3|male|middleage|withfolk
745|live|3|male|middleage|withoutfolk
746|dead|1|male|oldage|withfolk
747|dead|3|male|underage|withfolk
748|live|2|female|middleage|withoutfolk
749|dead|1|male|middleage|withfolk
750|dead|3|male|middleage|withoutfolk
751|live|2|female|underage|withfolk
752|live|3|male|underage|withfolk
753|dead|3|male|middleage|withoutfolk
754|dead|3|male|middleage|withoutfolk
755|live|2|female|oldage|withfolk
756|live|2|male|underage|withfolk
757|dead|3|male|middleage|withoutfolk
758|dead|2|male|middleage|withoutfolk
759|dead|3|male|middleage|withoutfolk
760|live|1|female|middleage|withoutfolk
761|dead|3|male||withoutfolk
762|dead|3|male|middleage|withoutfolk
763|live|3|male|middleage|withoutfolk
764|live|1|female|middleage|withfolk
765|dead|3|male|underage|withoutfolk
766|live|1|female|oldage|withfolk
767|dead|1|male||withoutfolk
768|dead|3|female|middleage|withoutfolk
769|dead|3|male||withfolk
770|dead|3|male|middleage|withoutfolk
771|dead|3|male|middleage|withoutfolk
772|dead|3|male|oldage|withoutfolk
773|dead|2|female|oldage|withoutfolk
774|dead|3|male||withoutfolk
775|live|2|female|oldage|withfolk
776|dead|3|male|middleage|withoutfolk
777|dead|3|male||withoutfolk
778|live|3|female|underage|withoutfolk
779|dead|3|male||withoutfolk
